<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/italian#sentipolc16'>sentipolc16</a>,<a href='https://euroeval.com/datasets/italian#multinerd-it'>multinerd_it</a>,<a href='https://euroeval.com/datasets/italian#scala-it'>scala_it</a>,<a href='https://euroeval.com/datasets/italian#squad-it'>squad_it</a>,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B</a>,📝,-,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
"<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking (zero-shot, val)</a>",📝,-,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/Unbabel/Tower-Plus-2B'>Unbabel/Tower-Plus-2B (zero-shot, val)</a>",📝,-,2614341888.0,256000.0,8192.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/Unbabel/Tower-Plus-2B'>Unbabel/Tower-Plus-2B (zero-shot)</a>,📝,-,2614341888.0,256000.0,8192.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/Unbabel/Tower-Plus-2B'>Unbabel/Tower-Plus-2B</a>,📝,-,2614341888.0,256000.0,8192.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507 (zero-shot)</a>,📝,-,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507 (val)</a>,📝,-,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507 (zero-shot, val)</a>",📝,-,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking (zero-shot)</a>,📝,-,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking (val)</a>,📝,-,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking (zero-shot, val)</a>",📝,-,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking (zero-shot)</a>,📝,-,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking (val)</a>,📝,-,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B (zero-shot, val)</a>",📝,-,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B (zero-shot)</a>,📝,-,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B</a>,📝,-,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking (zero-shot, val)</a>",📝,-,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (zero-shot, val)</a>",📝,-,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (zero-shot)</a>,📝,-,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B</a>,📝,-,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking (zero-shot)</a>,📝,-,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (zero-shot)</a>,📝,-,9241705984.0,256000.0,8192.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
"<a href='https://hf.co/emillykkejensen/Llama-3-8B-instruct-dansk'>emillykkejensen/Llama-3-8B-instruct-dansk (zero-shot, val)</a>",📝,-,?,128256.0,8192.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
"<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (zero-shot, val)</a>",📝,-,9241705984.0,256000.0,8192.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
"<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking (zero-shot, val)</a>",📝,-,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT (val)</a>,📝,-,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT (zero-shot)</a>,📝,-,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO (zero-shot, val)</a>",📝,-,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO (val)</a>,📝,-,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO (zero-shot)</a>,📝,-,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking (zero-shot)</a>,📝,-,751632384.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking (val)</a>,📝,-,751632384.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct (zero-shot, val)</a>",📝,-,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct (val)</a>,📝,-,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct (zero-shot)</a>,📝,-,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT (zero-shot, val)</a>",📝,-,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT (val)</a>,📝,-,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT (zero-shot)</a>,📝,-,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO (zero-shot, val)</a>",📝,-,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO (val)</a>,📝,-,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO (zero-shot)</a>,📝,-,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking (zero-shot, val)</a>",📝,-,751632384.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct (zero-shot, val)</a>",📝,-,32234279936.0,100352.0,4096.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct (val)</a>,📝,-,32234279936.0,100352.0,4096.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct (zero-shot)</a>,📝,-,32234279936.0,100352.0,4096.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking (zero-shot)</a>,📝,-,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking (val)</a>,📝,-,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT (zero-shot, val)</a>",📝,-,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT (val)</a>,📝,-,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT (zero-shot)</a>,📝,-,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking (zero-shot)</a>,📝,-,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct (zero-shot, val)</a>",📝,-,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking (zero-shot)</a>,📝,-,320956992.0,65536.0,4096.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/OpenLLM-Ro/RoMistral-7b-Instruct-DPO'>OpenLLM-Ro/RoMistral-7b-Instruct-DPO (val)</a>,📝,-,7248023552.0,32768.0,32768.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro (zero-shot)</a>,📝,-,3191396096.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B (zero-shot)</a>,📝,-,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B (val)</a>,📝,-,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B (zero-shot, val)</a>",📝,-,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking (zero-shot, val)</a>",📝,-,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B (zero-shot)</a>,📝,-,2569272320.0,65536.0,128000.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B (val)</a>,📝,-,2569272320.0,65536.0,128000.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B (zero-shot, val)</a>",📝,-,2569272320.0,65536.0,128000.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M (zero-shot)</a>,📝,-,354483968.0,65536.0,128000.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (val)</a>,📝,-,?,?,1047576.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot)</a>,📝,-,?,?,1047576.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro (val)</a>,📝,-,3191396096.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14</a>,📝,-,?,?,1047576.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot)</a>,📝,-,?,?,1047576.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14</a>,📝,-,?,?,1047576.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M (val)</a>,📝,-,354483968.0,65536.0,128000.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (val)</a>,📝,-,?,?,1047576.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot)</a>,📝,-,?,?,1047576.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14</a>,📝,-,?,?,1047576.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M (zero-shot, val)</a>",📝,-,354483968.0,65536.0,128000.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (zero-shot, val)</a>",📝,-,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (zero-shot)</a>,📝,-,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it</a>,📝,-,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M (zero-shot)</a>,📝,-,742489344.0,65536.0,128000.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (val)</a>,📝,-,?,?,1047576.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro (zero-shot, val)</a>",📝,-,3191396096.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
"<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (zero-shot, val)</a>",📝,-,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small (zero-shot)</a>,📝,-,32207337984.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct (zero-shot)</a>,📝,-,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct (zero-shot, val)</a>",📝,-,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct (zero-shot, val)</a>",📝,-,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct (val)</a>,📝,-,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct (zero-shot)</a>,📝,-,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B#no-thinking (zero-shot)</a>,📝,-,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B#no-thinking (val)</a>,📝,-,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B#no-thinking (zero-shot, val)</a>",📝,-,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/kurakurai/Luth-1.7B-Instruct'>kurakurai/Luth-1.7B-Instruct (zero-shot, val)</a>",📝,-,1720574976.0,151936.0,40960.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/kurakurai/Luth-1.7B-Instruct'>kurakurai/Luth-1.7B-Instruct (val)</a>,📝,-,1720574976.0,151936.0,40960.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/kurakurai/Luth-1.7B-Instruct'>kurakurai/Luth-1.7B-Instruct (zero-shot)</a>,📝,-,1720574976.0,151936.0,40960.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B</a>,📝,-,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/infly/OpenCoder-8B-Instruct'>infly/OpenCoder-8B-Instruct</a>,📝,-,7771262976.0,96640.0,8192.0,✓,✗,(✓),✗,42.93 ± 3.66 / 61.44 ± 2.65,-,9.48 ± 2.89 / 50.42 ± 2.52,-,15.8.1.dev0,-,15.8.2,-
<a href='https://hf.co/infly/OpenCoder-8B-Base'>infly/OpenCoder-8B-Base</a>,📝,-,7771263040.0,96640.0,8192.0,✓,✗,(✓),✗,26.81 ± 5.41 / 39.71 ± 6.41,-,3.33 ± 1.97 / 47.65 ± 2.23,-,15.7.2.dev0,-,15.8.2,-
<a href='https://hf.co/infly/OpenCoder-1.5B-Instruct'>infly/OpenCoder-1.5B-Instruct</a>,📝,-,1905650880.0,96640.0,4096.0,✗,✗,(✓),✗,13.18 ± 3.90 / 27.42 ± 4.75,-,1.07 ± 1.50 / 38.50 ± 3.07,-,15.8.1.dev0,-,15.8.2,-
<a href='https://hf.co/infly/OpenCoder-1.5B-Base'>infly/OpenCoder-1.5B-Base</a>,📝,-,1905650960.0,96640.0,4096.0,✓,✗,(✓),✗,1.01 ± 1.47 / 25.21 ± 2.53,-,-0.15 ± 2.26 / 38.34 ± 3.42,-,15.7.2.dev0,-,15.8.2,-
"<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro (zero-shot, val)</a>",📝,-,3402836480.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro (val)</a>,📝,-,3402836480.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro (zero-shot)</a>,📝,-,3402836480.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (zero-shot)</a>,📝,-,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
"<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny (zero-shot, val)</a>",📝,-,6939037248.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny (val)</a>,📝,-,6939037248.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny (zero-shot)</a>,📝,-,6939037248.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
"<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small (zero-shot, val)</a>",📝,-,32207337984.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small (val)</a>,📝,-,32207337984.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
"<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it (zero-shot, val)</a>",📝,-,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it (zero-shot)</a>,📝,-,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it</a>,📝,-,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M (val)</a>,📝,-,742489344.0,65536.0,128000.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it (zero-shot, val)</a>",📝,-,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it (val)</a>,📝,-,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it (zero-shot)</a>,📝,-,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Instruct'>LiquidAI/LFM2.5-1.2B-Instruct (zero-shot, val)</a>",📝,-,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (val)</a>,🤔,-,?,256128.0,1048576.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot)</a>,🤔,-,?,256128.0,1048576.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview</a>,🤔,-,?,256128.0,1048576.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (val)</a>,🤔,-,?,256128.0,1048576.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
